GEOID,LAT,LONG,COUNTRY
00601,18.180555,-66.749961,US
00602,18.361945,-67.175597,US
00603,18.457399,-67.124867,US
00606,18.158327,-66.932928,US
00610,18.295304,-67.12518,US
00611,18.276316,-66.807165,US
00612,18.416727,-66.70009,US
00616,18.420412,-66.671979,US
00617,18.446889,-66.561154,US
00622,17.988103,-67.160357,US
00623,18.084371,-67.158765,US
00624,18.051808,-66.721711,US
00627,18.412507,-66.863811,US
00631,18.184294,-66.830795,US
00636,18.1636,-67.080097,US
00637,18.080103,-66.947975,US
00638,18.280188,-66.513111,US
00641,18.268074,-66.701785,US
00646,18.432897,-66.286499,US
00647,17.963613,-66.947127,US
00650,18.349209,-66.578112,US
00652,18.44844,-66.59411,US
00653,17.988642,-66.90169,US
00656,18.040426,-66.789672,US
00659,18.407226,-66.808999,US
00660,18.134695,-67.116199,US
00662,18.468301,-67.015749,US
00664,18.21033,-66.591616,US
00667,18.003422,-67.03581,US
00669,18.276925,-66.869587,US
00670,18.233585,-66.987585,US
00674,18.424145,-66.487895,US
00676,18.381597,-67.080884,US
00677,18.332568,-67.227022,US
00678,18.430503,-66.930479,US
00680,18.183493,-67.133054,US
00682,18.224864,-67.153891,US
00683,18.1078,-67.037263,US
00685,18.336887,-66.972929,US
00687,18.318017,-66.420392,US
00688,18.382311,-66.626416,US
00690,18.493543,-67.096915,US
00692,18.410652,-66.336202,US
00693,18.425961,-66.398098,US
00694,18.483127,-66.39236,US
00698,18.072916,-66.85119,US
00703,18.248401,-66.130662,US
00704,17.973168,-66.229011,US
00705,18.12896,-66.266691,US
00707,18.014055,-65.920751,US
00714,17.995867,-66.055529,US
00715,17.990485,-66.566143,US
00716,17.985014,-66.606721,US
00717,18.002639,-66.611087,US
00718,18.23201,-65.756036,US
00719,18.28992,-66.25344,US
00720,18.216608,-66.423682,US
00723,18.019337,-66.001862,US
00725,18.220689,-66.03958,US
00727,18.211921,-66.073355,US
00728,17.991071,-66.662968,US
00729,18.334918,-65.887078,US
00730,18.030882,-66.611928,US
00731,18.109947,-66.635622,US
00735,18.252179,-65.665631,US
00736,18.103624,-66.151667,US
00738,18.304458,-65.698711,US
00739,18.175543,-66.162102,US
00740,18.333961,-65.631674,US
00741,18.163855,-65.754042,US
00745,18.352176,-65.810929,US
00751,18.003779,-66.262905,US
00754,18.144582,-65.972253,US
00757,17.991428,-66.402337,US
00765,18.124207,-65.42307,US
00766,18.130718,-66.472244,US
00767,18.069489,-65.896029,US
00769,18.096641,-66.358335,US
00771,18.187148,-65.871189,US
00772,18.438944,-65.90522,US
00773,18.342888,-65.723109,US
00775,18.326611,-65.307771,US
00777,18.224327,-65.909085,US
00778,18.264076,-65.97851,US
00780,18.094076,-66.565781,US
00782,18.224878,-66.224482,US
00783,18.300221,-66.328927,US
00784,18.010714,-66.133615,US
00786,18.135725,-66.228698,US
00791,18.142603,-65.812812,US
00794,18.200018,-66.309282,US
00795,18.04645,-66.495142,US
00802,18.342939,-64.925102,US
00820,17.736627,-64.708215,US
00830,18.338559,-64.73653,US
00840,17.72471,-64.848522,US
00850,17.726822,-64.792245,US
00851,17.747525,-64.787439,US
00901,18.466594,-66.107982,US
00906,18.46446,-66.094995,US
00907,18.452271,-66.087625,US
00909,18.441246,-66.068766,US
00911,18.453656,-66.056338,US
00912,18.445067,-66.059942,US
00913,18.464629,-66.04459,US
00915,18.437179,-66.045571,US
00917,18.420674,-66.050105,US
00918,18.422249,-66.069081,US
00920,18.422439,-66.09214,US
00921,18.392088,-66.087109,US
00923,18.410804,-66.037358,US
00924,18.399186,-66.01258,US
00925,18.400271,-66.05059,US
00926,18.348601,-66.053929,US
00927,18.388202,-66.070033,US
00934,18.413,-66.119829,US
00949,18.409879,-66.227441,US
00950,18.467225,-66.237929,US
00951,18.42805,-66.259772,US
00952,18.428724,-66.188931,US
00953,18.360729,-66.251527,US
00956,18.321137,-66.170419,US
00957,18.366147,-66.188962,US
00959,18.385785,-66.155654,US
00960,18.416918,-66.142693,US
00961,18.409907,-66.163361,US
00962,18.439988,-66.1355,US
00965,18.430508,-66.110917,US
00966,18.397875,-66.113935,US
00968,18.406063,-66.101232,US
00969,18.366226,-66.110047,US
00971,18.318884,-66.11919,US
00976,18.33618,-65.994101,US
00979,18.438359,-65.999169,US
00982,18.408744,-65.991273,US
00983,18.41722,-65.981317,US
00985,18.410774,-65.947927,US
00987,18.343988,-65.943754,US
01001,42.062368,-72.625754,US
01002,42.377212,-72.464795,US
01003,42.391883,-72.523584,US
01005,42.418884,-72.112077,US
01007,42.283935,-72.400409,US
01008,42.192024,-72.964076,US
01009,42.211386,-72.341809,US
01010,42.128176,-72.205352,US
01011,42.290128,-72.966516,US
01012,42.375425,-72.858192,US
01013,42.142009,-72.595496,US
01020,42.172611,-72.56192,US
01022,42.197187,-72.541872,US
01026,42.470032,-72.925707,US
01027,42.295008,-72.751877,US
01028,42.062378,-72.498111,US
01029,42.176271,-73.035292,US
01030,42.072925,-72.686972,US
01031,42.327809,-72.191968,US
01032,42.457613,-72.81478,US
01033,42.244949,-72.500143,US
01034,42.093912,-72.961103,US
01035,42.356491,-72.568632,US
01036,42.071188,-72.417718,US
01037,42.376036,-72.197364,US
01038,42.379925,-72.604045,US
01039,42.411304,-72.690951,US
01040,42.211658,-72.642448,US
01050,42.291259,-72.874803,US
01053,42.356301,-72.713584,US
01054,42.468898,-72.484579,US
01056,42.183577,-72.457812,US
01057,42.093596,-72.321494,US
01060,42.321251,-72.630395,US
01062,42.323033,-72.701789,US
01063,42.319584,-72.639539,US
01066,42.413039,-72.623639,US
01068,42.353887,-72.060685,US
01069,42.188862,-72.30648,US
01070,42.519909,-72.925354,US
01071,42.160064,-72.87384,US
01072,42.456968,-72.417244,US
01073,42.226949,-72.741588,US
01074,42.380823,-72.103895,US
01075,42.256532,-72.580248,US
01077,42.05257,-72.777353,US
01079,42.185745,-72.33246,US
01080,42.185727,-72.361558,US
01081,42.061313,-72.234411,US
01082,42.299749,-72.279164,US
01083,42.20684,-72.198619,US
01084,42.361724,-72.874987,US
01085,42.153503,-72.771602,US
01088,42.3827,-72.640361,US
01089,42.125451,-72.649734,US
01092,42.191868,-72.235108,US
01093,42.445258,-72.645058,US
01094,42.369762,-72.139283,US
01095,42.138527,-72.420703,US
01096,42.410538,-72.76577,US
01097,42.165868,-72.830985,US
01098,42.397559,-72.943392,US
01103,42.104418,-72.59008,US
01104,42.132772,-72.567411,US
01105,42.095246,-72.577603,US
01106,42.045695,-72.563323,US
01107,42.12106,-72.607068,US
01108,42.082947,-72.55951,US
01109,42.119674,-72.549726,US
01118,42.094587,-72.525219,US
01119,42.124978,-72.51121,US
01128,42.092296,-72.489135,US
01129,42.118671,-72.488203,US
01144,42.101894,-72.590907,US
01151,42.15186,-72.509131,US
01201,42.454302,-73.282074,US
01220,42.62556,-73.119828,US
01222,42.062743,-73.317498,US
01223,42.304286,-73.111494,US
01224,42.503728,-73.201636,US
01225,42.565107,-73.149142,US
01226,42.479819,-73.153776,US
01229,42.29008,-73.354218,US
01230,42.173196,-73.32429,US
01235,42.425677,-73.063028,US
01236,42.274499,-73.386155,US
01237,42.549804,-73.261144,US
01238,42.300457,-73.231006,US
01240,42.382693,-73.266632,US
01242,42.333734,-73.249199,US
01243,42.367907,-73.054094,US
01244,42.117456,-73.278635,US
01245,42.193307,-73.218499,US
01247,42.695699,-73.093852,US
01253,42.206683,-73.113214,US
01254,42.382019,-73.365492,US
01255,42.1029,-73.125991,US
01256,42.594166,-73.02232,US
01257,42.085244,-73.367483,US
01258,42.09092,-73.470197,US
01259,42.06926,-73.228949,US
01260,42.261673,-73.27516,US
01262,42.310055,-73.324468,US
01264,42.234822,-73.197083,US
01266,42.312354,-73.388044,US
01267,42.671617,-73.246981,US
01270,42.519837,-73.04969,US
01301,42.626761,-72.60153,US
01330,42.513947,-72.821517,US
01331,42.570237,-72.182903,US
01337,42.689307,-72.582289,US
01338,42.575889,-72.80665,US
01339,42.61045,-72.887735,US
01340,42.68553,-72.731135,US
01341,42.507177,-72.701525,US
01342,42.543889,-72.609458,US
01343,42.64773,-72.969767,US
01344,42.613418,-72.426428,US
01346,42.658496,-72.806057,US
01347,42.563223,-72.509775,US
01349,42.56746,-72.467542,US
01350,42.727772,-72.985346,US
01351,42.53988,-72.521689,US
01354,42.624101,-72.508607,US
01355,42.458551,-72.327191,US
01360,42.677091,-72.453876,US
01364,42.605437,-72.292074,US
01366,42.491583,-72.180876,US
01367,42.692882,-72.919244,US
01368,42.676687,-72.184052,US
01370,42.593376,-72.726928,US
01373,42.475481,-72.615403,US
01375,42.466691,-72.546751,US
01376,42.591441,-72.544674,US
01378,42.679971,-72.339882,US
01379,42.527853,-72.398403,US
01380,42.588496,-72.406298,US
01420,42.584925,-71.816862,US
01430,42.673052,-71.920335,US
01431,42.676293,-71.832523,US
01432,42.566588,-71.575126,US
01434,42.53206,-71.61374,US
01436,42.602059,-72.087015,US
01438,42.561088,-72.036074,US
01440,42.588337,-71.986069,US
01450,42.611636,-71.564743,US
01451,42.501908,-71.568201,US
01452,42.495111,-72.002339,US
01453,42.519967,-71.763319,US
01460,42.535931,-71.490569,US
01462,42.582607,-71.720464,US
01463,42.670643,-71.602858,US
01464,42.573654,-71.640986,US
01468,42.542767,-72.068345,US
01469,42.664794,-71.695055,US
01473,42.5546,-71.90544,US
01474,42.673143,-71.748378,US
01475,42.66816,-72.055644,US
01501,42.198867,-71.845722,US
01503,42.384929,-71.633889,US
01504,42.039991,-71.532406,US
01505,42.355049,-71.716157,US
01506,42.180807,-72.107888,US
01507,42.133935,-71.968025,US
01510,42.411887,-71.690005,US
01515,42.209682,-72.040178,US
01516,42.053072,-71.752241,US
01518,42.108325,-72.113692,US
01519,42.203404,-71.679739,US
01520,42.334177,-71.854277,US
01521,42.046783,-72.180212,US
01522,42.375634,-71.867382,US
01523,42.483569,-71.675585,US
01524,42.246029,-71.917566,US
01525,42.098995,-71.642964,US
01527,42.192246,-71.777649,US
01529,42.036642,-71.578779,US
01531,42.326183,-72.133431,US
01532,42.323342,-71.646236,US
01534,42.138896,-71.645003,US
01535,42.267564,-72.066876,US
01536,42.231309,-71.692642,US
01537,42.158966,-71.897051,US
01540,42.113727,-71.86085,US
01541,42.454125,-71.87754,US
01542,42.204251,-71.908907,US
01543,42.388285,-71.969865,US
01545,42.284767,-71.714228,US
01550,42.059737,-72.033908,US
01560,42.175395,-71.674223,US
01561,42.445825,-71.688484,US
01562,42.247211,-71.991867,US
01564,42.447924,-71.776045,US
01566,42.103214,-72.079545,US
01568,42.177529,-71.606322,US
01569,42.055921,-71.631128,US
01570,42.049253,-71.846219,US
01571,42.053778,-71.935075,US
01581,42.268426,-71.613309,US
01583,42.375357,-71.789363,US
01585,42.236908,-72.162221,US
01588,42.116108,-71.664614,US
01590,42.132051,-71.750318,US
01602,42.269189,-71.850728,US
01603,42.243826,-71.843569,US
01604,42.253485,-71.767932,US
01605,42.289683,-71.787793,US
01606,42.313887,-71.794185,US
01607,42.225974,-71.788894,US
01608,42.26209,-71.801428,US
01609,42.285114,-71.829987,US
01610,42.247049,-71.808366,US
01611,42.240977,-71.877035,US
01612,42.296798,-71.928991,US
01701,42.319587,-71.4428,US
01702,42.282379,-71.436623,US
01718,42.522816,-71.430271,US
01719,42.485985,-71.520985,US
01720,42.483953,-71.438495,US
01721,42.257755,-71.473526,US
01730,42.499332,-71.281901,US
01731,42.464648,-71.28483,US
01740,42.439933,-71.601885,US
01741,42.536807,-71.361324,US
01742,42.462911,-71.364496,US
01745,42.292114,-71.499197,US
01746,42.195951,-71.45343,US
01747,42.123007,-71.531404,US
01748,42.224096,-71.540489,US
01749,42.389071,-71.545864,US
01752,42.349617,-71.547214,US
01754,42.425955,-71.456256,US
01756,42.09387,-71.544519,US
01757,42.158692,-71.521419,US
01760,42.284822,-71.348811,US
01770,42.231947,-71.372963,US
